ENSEMBL	ENTREZID	SYMBOL	GENENAME
ENSG00000125991	51614	ERGIC3	ERGIC and golgi 3
ENSG00000125995	140823	ROMO1	reactive oxygen species modulator 1
ENSG00000125998	128876	FAM83C	family with sequence similarity 83 member C
ENSG00000125999	92747	BPIFB1	BPI fold containing family B member 1
ENSG00000126001	11190	CEP250	centrosomal protein 250
ENSG00000126003	5326	PLAGL2	PLAG1 like zinc finger 2
ENSG00000126010	2925	GRPR	gastrin releasing peptide receptor
ENSG00000126012	8242	KDM5C	lysine demethylase 5C
ENSG00000126016	154796	AMOT	angiomotin
ENSG00000126062	11070	TMEM115	transmembrane protein 115
ENSG00000126067	5690	PSMB2	proteasome subunit beta 2
ENSG00000126070	192669	AGO3	argonaute 3, RISC catalytic component
ENSG00000126088	7389	UROD	uroporphyrinogen decarboxylase
ENSG00000126091	6487	ST3GAL3	ST3 beta-galactoside alpha-2,3-sialyltransferase 3
ENSG00000126106	79639	TMEM53	transmembrane protein 53
ENSG00000126107	79654	HECTD3	HECT domain E3 ubiquitin protein ligase 3
ENSG00000126214	3831	KLC1	kinesin light chain 1
ENSG00000126215	7517	XRCC3	X-ray repair cross complementing 3
ENSG00000126216	10426	TUBGCP3	tubulin gamma complex associated protein 3
ENSG00000126217	23263	MCF2L	MCF.2 cell line derived transforming sequence like
ENSG00000126218	2159	F10	coagulation factor X
ENSG00000126226	55795	PCID2	PCI domain containing 2
ENSG00000126231	8858	PROZ	protein Z, vitamin K dependent plasma glycoprotein
ENSG00000126233	57152	SLURP1	secreted LY6/PLAUR domain containing 1
ENSG00000126243	79414	LRFN3	leucine rich repeat and fibronectin type III domain containing 3
ENSG00000126246	79713	IGFLR1	IGF like family receptor 1
ENSG00000126247	826	CAPNS1	calpain small subunit 1
ENSG00000126249	84306	PDCD2L	programmed cell death 2 like
ENSG00000126254	79171	RBM42	RNA binding motif protein 42
ENSG00000126259	84063	KIRREL2	kin of IRRE like 2 (Drosophila)
ENSG00000126261	10054	UBA2	ubiquitin like modifier activating enzyme 2
ENSG00000126262	2867	FFAR2	free fatty acid receptor 2
ENSG00000126264	10870	HCST	hematopoietic cell signal transducer
ENSG00000126266	2864	FFAR1	free fatty acid receptor 1
ENSG00000126267	1340	COX6B1	cytochrome c oxidase subunit 6B1
ENSG00000126337	8689	KRT36	keratin 36
ENSG00000126351	7067	THRA	thyroid hormone receptor, alpha
ENSG00000126353	1236	CCR7	C-C motif chemokine receptor 7
ENSG00000126368	9572	NR1D1	nuclear receptor subfamily 1 group D member 1
ENSG00000126391	83786	FRMD8	FERM domain containing 8
ENSG00000126432	25824	PRDX5	peroxiredoxin 5
ENSG00000126453	83596	BCL2L12	BCL2 like 12
ENSG00000126456	3661	IRF3	interferon regulatory factor 3
ENSG00000126457	3276	PRMT1	protein arginine methyltransferase 1
ENSG00000126458	6237	RRAS	related RAS viral (r-ras) oncogene homolog
ENSG00000126460	5639	PRRG2	proline rich and Gla domain 2
ENSG00000126461	58506	SCAF1	SR-related CTD associated factor 1
ENSG00000126464	57479	PRR12	proline rich 12
ENSG00000126467	60385	TSKS	testis specific serine kinase substrate
ENSG00000126500	23769	FLRT1	fibronectin leucine rich transmembrane protein 1
ENSG00000126522	435	ASL	argininosuccinate lyase
ENSG00000126524	51119	SBDS	SBDS, ribosome assembly guanine nucleotide exchange factor
ENSG00000126545	1446	CSN1S1	casein alpha s1
ENSG00000126549	6779	STATH	statherin
ENSG00000126550	3346	HTN1	histatin 1
ENSG00000126561	6776	STAT5A	signal transducer and activator of transcription 5A
ENSG00000126562	65266	WNK4	WNK lysine deficient protein kinase 4
ENSG00000126581	8678	BECN1	beclin 1
ENSG00000126583	5582	PRKCG	protein kinase C gamma
ENSG00000126602	10131	TRAP1	TNF receptor associated protein 1
ENSG00000126603	84662	GLIS2	GLIS family zinc finger 2
ENSG00000126653	84081	NSRP1	nuclear speckle splicing regulatory protein 1
ENSG00000126698	22826	DNAJC8	DnaJ heat shock protein family (Hsp40) member C8
ENSG00000126705	27245	AHDC1	AT-hook DNA binding motif containing 1
ENSG00000126709	2537	IFI6	interferon alpha inducible protein 6
ENSG00000126733	117154	DACH2	dachshund family transcription factor 2
ENSG00000126746	171017	ZNF384	zinc finger protein 384
ENSG00000126749	10436	EMG1	EMG1, N1-specific pseudouridine methyltransferase
ENSG00000126752	6756	SSX1	SSX family member 1
ENSG00000126756	8409	UXT	ubiquitously expressed prefoldin like chaperone
ENSG00000126759	5199	CFP	complement factor properdin
ENSG00000126767	2002	ELK1	ELK1, ETS transcription factor
ENSG00000126768	10245	TIMM17B	translocase of inner mitochondrial membrane 17B
ENSG00000126773	64430	PCNX4	pecanex homolog 4 (Drosophila)
ENSG00000126775	22863	ATG14	autophagy related 14
ENSG00000126777	3895	KTN1	kinectin 1
ENSG00000126778	6495	SIX1	SIX homeobox 1
ENSG00000126785	57381	RHOJ	ras homolog family member J
ENSG00000126787	9787	DLGAP5	DLG associated protein 5
ENSG00000126790	112849	L3HYPDH	trans-L-3-hydroxyproline dehydratase
ENSG00000126803	3306	HSPA2	heat shock protein family A (Hsp70) member 2
ENSG00000126804	22890	ZBTB1	zinc finger and BTB domain containing 1
ENSG00000126814	57570	TRMT5	tRNA methyltransferase 5
ENSG00000126821	81537	SGPP1	sphingosine-1-phosphate phosphatase 1
ENSG00000126822	26030	PLEKHG3	pleckstrin homology and RhoGEF domain containing G3
ENSG00000126838	5858	PZP	PZP, alpha-2-macroglobulin like
ENSG00000126856	11105	PRDM7	PR/SET domain 7
ENSG00000126858	55288	RHOT1	ras homolog family member T1
ENSG00000126860	2123	EVI2A	ecotropic viral integration site 2A
ENSG00000126861	4974	OMG	oligodendrocyte myelin glycoprotein
ENSG00000126870	55112	WDR60	WD repeat domain 60
ENSG00000126878	83543	AIF1L	allograft inflammatory factor 1 like
ENSG00000126882	286336	FAM78A	family with sequence similarity 78 member A
ENSG00000126883	8021	NUP214	nucleoporin 214
ENSG00000126890	30848	CTAG2	cancer/testis antigen 2
ENSG00000126895	554	AVPR2	arginine vasopressin receptor 2
ENSG00000126903	8273	SLC10A3	solute carrier family 10 member 3
ENSG00000126934	5605	MAP2K2	mitogen-activated protein kinase kinase 2
ENSG00000126945	3188	HNRNPH2	heterogeneous nuclear ribonucleoprotein H2
ENSG00000126947	51309	ARMCX1	armadillo repeat containing, X-linked 1
ENSG00000126950	59353	TMEM35A	transmembrane protein 35A
ENSG00000126952	55998	NXF5	nuclear RNA export factor 5
ENSG00000126953	1678	TIMM8A	translocase of inner mitochondrial membrane 8A
ENSG00000126970	55906	ZC4H2	zinc finger C4H2-type containing
ENSG00000127022	821	CANX	calnexin
ENSG00000127054	54973	INTS11	integrator complex subunit 11
ENSG00000127074	6003	RGS13	regulator of G-protein signaling 13
ENSG00000127080	64768	IPPK	inositol-pentakisphosphate 2-kinase
ENSG00000127081	83744	ZNF484	zinc finger protein 484
ENSG00000127083	4958	OMD	osteomodulin
ENSG00000127084	89846	FGD3	FYVE, RhoGEF and PH domain containing 3
ENSG00000127124	59269	HIVEP3	human immunodeficiency virus type I enhancer binding protein 3
ENSG00000127125	79717	PPCS	phosphopantothenoylcysteine synthetase
ENSG00000127129	1907	EDN2	endothelin 2
ENSG00000127152	64919	BCL11B	B-cell CLL/lymphoma 11B
ENSG00000127184	1350	COX7C	cytochrome c oxidase subunit 7C
ENSG00000127191	7186	TRAF2	TNF receptor associated factor 2
ENSG00000127220	79575	ABHD8	abhydrolase domain containing 8
ENSG00000127241	5648	MASP1	mannan binding lectin serine peptidase 1
ENSG00000127249	84239	ATP13A4	ATPase 13A4
ENSG00000127252	57110	HRASLS	HRAS like suppressor
ENSG00000127311	92797	HELB	DNA helicase B
ENSG00000127314	5908	RAP1B	RAP1B, member of RAS oncogene family
ENSG00000127318	50616	IL22	interleukin 22
ENSG00000127324	7103	TSPAN8	tetraspanin 8
ENSG00000127325	144453	BEST3	bestrophin 3
ENSG00000127328	117177	RAB3IP	RAB3A interacting protein
ENSG00000127329	5787	PTPRB	protein tyrosine phosphatase, receptor type B
ENSG00000127334	8445	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2
ENSG00000127337	8089	YEATS4	YEATS domain containing 4
ENSG00000127362	50831	TAS2R3	taste 2 receptor member 3
ENSG00000127364	50832	TAS2R4	taste 2 receptor member 4
ENSG00000127366	54429	TAS2R5	taste 2 receptor member 5
ENSG00000127377	155051	CRYGN	crystallin gamma N
ENSG00000127399	65999	LRRC61	leucine rich repeat containing 61
ENSG00000127412	56302	TRPV5	transient receptor potential cation channel subfamily V member 5
ENSG00000127415	3425	IDUA	iduronidase, alpha-L-
ENSG00000127418	53834	FGFRL1	fibroblast growth factor receptor-like 1
ENSG00000127419	84286	TMEM175	transmembrane protein 175
ENSG00000127423	79000	AUNIP	aurora kinase A and ninein interacting protein
ENSG00000127445	5300	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1
ENSG00000127452	54850	FBXL12	F-box and leucine rich repeat protein 12
ENSG00000127463	23065	EMC1	ER membrane protein complex subunit 1
ENSG00000127472	5322	PLA2G5	phospholipase A2 group V
ENSG00000127481	23352	UBR4	ubiquitin protein ligase E3 component n-recognin 4
ENSG00000127483	50809	HP1BP3	heterochromatin protein 1 binding protein 3
ENSG00000127507	30817	ADGRE2	adhesion G protein-coupled receptor E2
ENSG00000127511	23309	SIN3B	SIN3 transcription regulator family member B
ENSG00000127515	390892	OR7A10	olfactory receptor family 7 subfamily A member 10
ENSG00000127526	79939	SLC35E1	solute carrier family 35 member E1
ENSG00000127527	58513	EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1
ENSG00000127528	10365	KLF2	Kruppel like factor 2
ENSG00000127529	26658	OR7C2	olfactory receptor family 7 subfamily C member 2
ENSG00000127530	26664	OR7C1	olfactory receptor family 7 subfamily C member 1
ENSG00000127533	9002	F2RL3	F2R like thrombin/trypsin receptor 3
ENSG00000127540	10975	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI
ENSG00000127554	2671	GFER	growth factor, augmenter of liver regeneration
ENSG00000127561	9143	SYNGR3	synaptogyrin 3
ENSG00000127564	9088	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1
ENSG00000127578	117166	WFIKKN1	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1
ENSG00000127580	84219	WDR24	WD repeat domain 24
ENSG00000127585	146330	FBXL16	F-box and leucine rich repeat protein 16
ENSG00000127586	63922	CHTF18	chromosome transmission fidelity factor 18
ENSG00000127588	51764	GNG13	G protein subunit gamma 13
ENSG00000127603	23499	MACF1	microtubule-actin crosslinking factor 1
ENSG00000127616	6597	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
ENSG00000127663	23030	KDM4B	lysine demethylase 4B
ENSG00000127666	148022	TICAM1	toll like receptor adaptor molecule 1
ENSG00000127720	84190	METTL25	methyltransferase like 25
ENSG00000127743	27190	IL17B	interleukin 17B
ENSG00000127774	83460	EMC6	ER membrane protein complex subunit 6
ENSG00000127780	8388	OR1E2	olfactory receptor family 1 subfamily E member 2
ENSG00000127804	79066	METTL16	methyltransferase like 16
ENSG00000127824	7277	TUBA4A	tubulin alpha 4a
ENSG00000127831	7429	VIL1	villin 1
ENSG00000127837	14	AAMP	angio associated migratory cell protein
ENSG00000127838	25953	PNKD	paroxysmal nonkinesigenic dyskinesia
ENSG00000127863	55504	TNFRSF19	TNF receptor superfamily member 19
ENSG00000127870	6049	RNF6	ring finger protein 6
ENSG00000127884	1892	ECHS1	enoyl-CoA hydratase, short chain 1
ENSG00000127903	90485	ZNF835	zinc finger protein 835
ENSG00000127914	10142	AKAP9	A-kinase anchoring protein 9
ENSG00000127920	2791	GNG11	G protein subunit gamma 11
ENSG00000127922	7979	SEM1	SEM1, 26S proteasome complex subunit
ENSG00000127928	2792	GNGT1	G protein subunit gamma transducin 1
ENSG00000127946	3092	HIP1	huntingtin interacting protein 1
ENSG00000127947	5782	PTPN12	protein tyrosine phosphatase, non-receptor type 12
ENSG00000127948	5447	POR	cytochrome p450 oxidoreductase
ENSG00000127951	10875	FGL2	fibrinogen like 2
ENSG00000127952	51657	STYXL1	serine/threonine/tyrosine interacting like 1
ENSG00000127954	79689	STEAP4	STEAP4 metalloreductase
ENSG00000127955	2770	GNAI1	G protein subunit alpha i1
ENSG00000127957	5387	PMS2P3	PMS1 homolog 2, mismatch repair system component pseudogene 3
ENSG00000127980	5189	PEX1	peroxisomal biogenesis factor 1
ENSG00000127989	7978	MTERF1	mitochondrial transcription termination factor 1
ENSG00000127990	8910	SGCE	sarcoglycan epsilon
ENSG00000127993	84060	RBM48	RNA binding motif protein 48
ENSG00000127995	64921	CASD1	CAS1 domain containing 1
ENSG00000128000	163131	ZNF780B	zinc finger protein 780B
ENSG00000128011	57622	LRFN1	leucine rich repeat and fibronectin type III domain containing 1
ENSG00000128016	7538	ZFP36	ZFP36 ring finger protein
ENSG00000128039	79644	SRD5A3	steroid 5 alpha-reductase 3
ENSG00000128040	6691	SPINK2	serine peptidase inhibitor, Kazal type 2
ENSG00000128045	65997	RASL11B	RAS like family 11 member B
ENSG00000128050	10606	PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase
ENSG00000128052	3791	KDR	kinase insert domain receptor
ENSG00000128059	5471	PPAT	phosphoribosyl pyrophosphate amidotransferase
ENSG00000128159	85378	TUBGCP6	tubulin gamma complex associated protein 6
ENSG00000128165	79924	ADM2	adrenomedullin 2
ENSG00000128185	85359	DGCR6L	DiGeorge syndrome critical region gene 6 like
ENSG00000128191	54487	DGCR8	DGCR8, microprocessor complex subunit
ENSG00000128203	57168	ASPHD2	aspartate beta-hydroxylase domain containing 2
ENSG00000128218	29802	VPREB3	V-set pre-B cell surrogate light chain 3
ENSG00000128228	23753	SDF2L1	stromal cell derived factor 2 like 1
ENSG00000128242	9514	GAL3ST1	galactose-3-O-sulfotransferase 1
ENSG00000128245	7533	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
ENSG00000128250	5988	RFPL1	ret finger protein like 1
ENSG00000128253	10739	RFPL2	ret finger protein like 2
ENSG00000128254	25775	C22orf24	chromosome 22 open reading frame 24
ENSG00000128262	29774	POM121L9P	POM121 transmembrane nucleoporin like 9, pseudogene
ENSG00000128266	2781	GNAZ	G protein subunit alpha z
ENSG00000128268	4248	MGAT3	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase
ENSG00000128271	135	ADORA2A	adenosine A2a receptor
ENSG00000128272	468	ATF4	activating transcription factor 4
ENSG00000128274	53947	A4GALT	alpha 1,4-galactosyltransferase (P blood group)
ENSG00000128276	10738	RFPL3	ret finger protein like 3
ENSG00000128283	11135	CDC42EP1	CDC42 effector protein 1
ENSG00000128284	80833	APOL3	apolipoprotein L3
ENSG00000128285	2847	MCHR1	melanin concentrating hormone receptor 1
ENSG00000128294	8459	TPST2	tyrosylprotein sulfotransferase 2
ENSG00000128298	80115	BAIAP2L2	BAI1 associated protein 2 like 2
ENSG00000128309	4357	MPST	mercaptopyruvate sulfurtransferase
ENSG00000128310	8484	GALR3	galanin receptor 3
ENSG00000128311	7263	TST	thiosulfate sulfurtransferase
ENSG00000128313	80831	APOL5	apolipoprotein L5
ENSG00000128322	3543	IGLL1	immunoglobulin lambda like polypeptide 1
ENSG00000128335	23780	APOL2	apolipoprotein L2
ENSG00000128340	5880	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)
ENSG00000128342	3976	LIF	LIF, interleukin 6 family cytokine
ENSG00000128346	84645	C22orf23	chromosome 22 open reading frame 23
ENSG00000128383	200315	APOBEC3A	apolipoprotein B mRNA editing enzyme catalytic subunit 3A
ENSG00000128394	200316	APOBEC3F	apolipoprotein B mRNA editing enzyme catalytic subunit 3F
ENSG00000128408	26150	RIBC2	RIB43A domain with coiled-coils 2
ENSG00000128422	3872	KRT17	keratin 17
ENSG00000128463	51234	EMC4	ER membrane protein complex subunit 4
ENSG00000128482	7732	RNF112	ring finger protein 112
ENSG00000128487	92521	SPECC1	sperm antigen with calponin homology and coiled-coil domains 1
ENSG00000128510	51200	CPA4	carboxypeptidase A4
ENSG00000128512	9732	DOCK4	dedicator of cytokinesis 4
ENSG00000128513	25913	POT1	protection of telomeres 1
ENSG00000128519	50833	TAS2R16	taste 2 receptor member 16
ENSG00000128524	9296	ATP6V1F	ATPase H+ transporting V1 subunit F
ENSG00000128534	51691	LSM8	LSM8 homolog, U6 small nuclear RNA associated
ENSG00000128536	222256	CDHR3	cadherin related family member 3
ENSG00000128563	79706	PRKRIP1	PRKR interacting protein 1 (IL11 inducible)
ENSG00000128564	7425	VGF	VGF nerve growth factor inducible
ENSG00000128567	5420	PODXL	podocalyxin like
ENSG00000128573	93986	FOXP2	forkhead box P2
ENSG00000128578	57464	STRIP2	striatin interacting protein 2
ENSG00000128581	64792	IFT22	intraflagellar transport 22
ENSG00000128585	4289	MKLN1	muskelin 1
ENSG00000128590	4189	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9
ENSG00000128591	2318	FLNC	filamin C
ENSG00000128594	64101	LRRC4	leucine rich repeat containing 4
ENSG00000128595	813	CALU	calumenin
ENSG00000128596	64753	CCDC136	coiled-coil domain containing 136
ENSG00000128602	6608	SMO	smoothened, frizzled class receptor
ENSG00000128604	3663	IRF5	interferon regulatory factor 5
ENSG00000128606	10234	LRRC17	leucine rich repeat containing 17
ENSG00000128607	23008	KLHDC10	kelch domain containing 10
ENSG00000128609	4698	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5
ENSG00000128610	389549	FEZF1	FEZ family zinc finger 1
ENSG00000128617	611	OPN1SW	opsin 1, short wave sensitive
ENSG00000128626	6183	MRPS12	mitochondrial ribosomal protein S12
ENSG00000128641	4430	MYO1B	myosin IB
ENSG00000128645	3231	HOXD1	homeobox D1
ENSG00000128652	3232	HOXD3	homeobox D3
ENSG00000128654	10651	MTX2	metaxin 2
ENSG00000128655	50940	PDE11A	phosphodiesterase 11A
ENSG00000128656	1123	CHN1	chimerin 1
ENSG00000128683	2571	GAD1	glutamate decarboxylase 1
ENSG00000128694	64172	OSGEPL1	O-sialoglycoprotein endopeptidase like 1
ENSG00000128699	94101	ORMDL1	ORMDL sphingolipid biosynthesis regulator 1
ENSG00000128708	8520	HAT1	histone acetyltransferase 1
ENSG00000128709	3235	HOXD9	homeobox D9
ENSG00000128710	3236	HOXD10	homeobox D10
ENSG00000128713	3237	HOXD11	homeobox D11
ENSG00000128714	3239	HOXD13	homeobox D13
ENSG00000128731	8924	HERC2	HECT and RLD domain containing E3 ubiquitin protein ligase 2
ENSG00000128739	6638	SNRPN	small nuclear ribonucleoprotein polypeptide N
ENSG00000128789	56984	PSMG2	proteasome assembly chaperone 2
ENSG00000128791	57045	TWSG1	twisted gastrulation BMP signaling modulator 1
ENSG00000128805	58504	ARHGAP22	Rho GTPase activating protein 22
ENSG00000128829	440275	EIF2AK4	eukaryotic translation initiation factor 2 alpha kinase 4
ENSG00000128833	55930	MYO5C	myosin VC
ENSG00000128849	84952	CGNL1	cingulin like 1
ENSG00000128872	29767	TMOD2	tropomodulin 2
ENSG00000128881	146057	TTBK2	tau tubulin kinase 2
ENSG00000128886	80237	ELL3	elongation factor for RNA polymerase II 3
ENSG00000128891	90416	C15orf57	chromosome 15 open reading frame 57
ENSG00000128908	54617	INO80	INO80 complex subunit
ENSG00000128915	79664	ICE2	interactor of little elongation complex ELL subunit 2
ENSG00000128917	54567	DLL4	delta like canonical Notch ligand 4
ENSG00000128918	8854	ALDH1A2	aldehyde dehydrogenase 1 family member A2
ENSG00000128923	54629	MINDY2	MINDY lysine 48 deubiquitinase 2
ENSG00000128928	3712	IVD	isovaleryl-CoA dehydrogenase
ENSG00000128944	90417	KNSTRN	kinetochore localized astrin/SPAG5 binding protein
ENSG00000128951	1854	DUT	deoxyuridine triphosphatase
ENSG00000128965	79094	CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1
ENSG00000128973	54982	CLN6	ceroid-lipofuscinosis, neuronal 6, late infantile, variant
ENSG00000128989	10776	ARPP19	cAMP regulated phosphoprotein 19
ENSG00000129003	54832	VPS13C	vacuolar protein sorting 13 homolog C
ENSG00000129007	91860	CALML4	calmodulin like 4
ENSG00000129009	3671	ISLR	immunoglobulin superfamily containing leucine rich repeat
ENSG00000129028	56906	THAP10	THAP domain containing 10
ENSG00000129038	4016	LOXL1	lysyl oxidase like 1
ENSG00000129048	51554	ACKR4	atypical chemokine receptor 4
ENSG00000129055	25847	ANAPC13	anaphase promoting complex subunit 13
ENSG00000129071	8930	MBD4	methyl-CpG binding domain 4, DNA glycosylase
ENSG00000129083	1315	COPB1	coatomer protein complex subunit beta 1
ENSG00000129084	5682	PSMA1	proteasome subunit alpha 1
ENSG00000129103	25870	SUMF2	sulfatase modifying factor 2
ENSG00000129116	23022	PALLD	palladin, cytoskeletal associated protein
ENSG00000129128	60559	SPCS3	signal peptidase complex subunit 3
ENSG00000129151	8424	BBOX1	gamma-butyrobetaine hydroxylase 1
ENSG00000129152	4654	MYOD1	myogenic differentiation 1
ENSG00000129158	26297	SERGEF	secretion regulating guanine nucleotide exchange factor
ENSG00000129159	3746	KCNC1	potassium voltage-gated channel subfamily C member 1
ENSG00000129167	7166	TPH1	tryptophan hydroxylase 1
ENSG00000129170	8048	CSRP3	cysteine and glycine rich protein 3
ENSG00000129173	79733	E2F8	E2F transcription factor 8
ENSG00000129187	1635	DCTD	dCMP deaminase
ENSG00000129194	6665	SOX15	SRY-box 15
ENSG00000129195	54478	PIMREG	PICALM interacting mitotic regulator
ENSG00000129197	84268	RPAIN	RPA interacting protein
ENSG00000129204	9098	USP6	ubiquitin specific peptidase 6
ENSG00000129214	6462	SHBG	sex hormone binding globulin
ENSG00000129219	5338	PLD2	phospholipase D2
ENSG00000129221	23746	AIPL1	aryl hydrocarbon receptor interacting protein like 1
ENSG00000129226	968	CD68	CD68 molecule
ENSG00000129235	84817	TXNDC17	thioredoxin domain containing 17
ENSG00000129244	482	ATP1B2	ATPase Na+/K+ transporting subunit beta 2
ENSG00000129245	9513	FXR2	FMR1 autosomal homolog 2
ENSG00000129250	10749	KIF1C	kinesin family member 1C
ENSG00000129255	9526	MPDU1	mannose-P-dolichol utilization defect 1
ENSG00000129292	51105	PHF20L1	PHD finger protein 20-like 1
ENSG00000129295	23639	LRRC6	leucine rich repeat containing 6
ENSG00000129315	904	CCNT1	cyclin T1
ENSG00000129317	83448	PUS7L	pseudouridylate synthase 7 like
ENSG00000129347	65095	KRI1	KRI1 homolog
ENSG00000129351	3609	ILF3	interleukin enhancer binding factor 3
ENSG00000129353	57153	SLC44A2	solute carrier family 44 member 2
ENSG00000129354	10053	AP1M2	adaptor related protein complex 1 mu 2 subunit
ENSG00000129355	1032	CDKN2D	cyclin dependent kinase inhibitor 2D
ENSG00000129422	57509	MTUS1	microtubule associated scaffold protein 1
ENSG00000129437	43847	KLK14	kallikrein related peptidase 14
ENSG00000129450	27180	SIGLEC9	sialic acid binding Ig like lectin 9
ENSG00000129451	5655	KLK10	kallikrein related peptidase 10
ENSG00000129455	11202	KLK8	kallikrein related peptidase 8
ENSG00000129460	25983	NGDN	neuroguidin
ENSG00000129465	11035	RIPK3	receptor interacting serine/threonine kinase 3
ENSG00000129467	196883	ADCY4	adenylate cyclase 4
ENSG00000129472	84932	RAB2B	RAB2B, member RAS oncogene family
ENSG00000129473	599	BCL2L2	BCL2 like 2
ENSG00000129474	84962	AJUBA	ajuba LIM protein
ENSG00000129480	112487	DTD2	D-tyrosyl-tRNA deacylase 2 (putative)
ENSG00000129484	10038	PARP2	poly(ADP-ribose) polymerase 2
ENSG00000129493	25938	HEATR5A	HEAT repeat containing 5A
ENSG00000129514	3169	FOXA1	forkhead box A1
ENSG00000129515	58533	SNX6	sorting nexin 6
ENSG00000129518	55837	EAPP	E2F associated phosphoprotein
ENSG00000129521	112399	EGLN3	egl-9 family hypoxia inducible factor 3
ENSG00000129534	55320	MIS18BP1	MIS18 binding protein 1
ENSG00000129535	4901	NRL	neural retina leucine zipper
ENSG00000129538	6035	RNASE1	ribonuclease A family member 1, pancreatic
ENSG00000129559	4738	NEDD8	neural precursor cell expressed, developmentally down-regulated 8
ENSG00000129562	1603	DAD1	defender against cell death 1
ENSG00000129566	7011	TEP1	telomerase associated protein 1
ENSG00000129595	64097	EPB41L4A	erythrocyte membrane protein band 4.1 like 4A
ENSG00000129596	1036	CDO1	cysteine dioxygenase type 1
ENSG00000129625	7905	REEP5	receptor accessory protein 5
ENSG00000129636	81533	ITFG1	integrin alpha FG-GAP repeat containing 1
ENSG00000129646	84074	QRICH2	glutamine rich 2
ENSG00000129654	2302	FOXJ1	forkhead box J1
ENSG00000129657	6397	SEC14L1	SEC14 like lipid binding 1
ENSG00000129667	79651	RHBDF2	rhomboid 5 homolog 2
ENSG00000129673	15	AANAT	aralkylamine N-acetyltransferase
ENSG00000129675	9459	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6
ENSG00000129680	79649	MAP7D3	MAP7 domain containing 3
ENSG00000129682	2258	FGF13	fibroblast growth factor 13
ENSG00000129691	9070	ASH2L	ASH2 like histone lysine methyltransferase complex subunit
ENSG00000129696	80185	TTI2	TELO2 interacting protein 2
ENSG00000129744	417	ART1	ADP-ribosyltransferase 1
ENSG00000129749	57053	CHRNA10	cholinergic receptor nicotinic alpha 10 subunit
ENSG00000129757	1028	CDKN1C	cyclin dependent kinase inhibitor 1C
ENSG00000129810	151648	SGO1	shugoshin 1
ENSG00000129816	50858	TTTY1	testis-specific transcript, Y-linked 1 (non-protein coding)
ENSG00000129824	6192	RPS4Y1	ribosomal protein S4, Y-linked 1
ENSG00000129845	50858	TTTY1	testis-specific transcript, Y-linked 1 (non-protein coding)
ENSG00000129862	353513	VCY1B	variable charge, Y-linked 1B
ENSG00000129864	9084	VCY	variable charge, Y-linked
ENSG00000129873	203611	CDY2B	chromodomain Y-linked 2B
ENSG00000129910	1013	CDH15	cadherin 15
ENSG00000129911	83855	KLF16	Kruppel like factor 16
ENSG00000129925	58986	TMEM8A	transmembrane protein 8A
ENSG00000129932	83475	DOHH	deoxyhypusine hydroxylase
ENSG00000129933	23383	MAU2	MAU2 sister chromatid cohesion factor
ENSG00000129946	25759	SHC2	SHC adaptor protein 2
ENSG00000129951	79948	PLPPR3	phospholipid phosphatase related 3
ENSG00000129965	723961	INS-IGF2	INS-IGF2 readthrough
ENSG00000129968	81926	ABHD17A	abhydrolase domain containing 17A
ENSG00000129988	3929	LBP	lipopolysaccharide binding protein
ENSG00000129990	6861	SYT5	synaptotagmin 5
ENSG00000129991	7137	TNNI3	troponin I3, cardiac type
ENSG00000129993	863	CBFA2T3	CBFA2/RUNX1 translocation partner 3
ENSG00000130005	2593	GAMT	guanidinoacetate N-methyltransferase
ENSG00000130021	8226	PUDP	pseudouridine 5'-phosphatase
ENSG00000130023	55780	ERMARD	ER membrane associated RNA degradation
ENSG00000130024	55274	PHF10	PHD finger protein 10
ENSG00000130032	79057	PRRG3	proline rich and Gla domain 3
ENSG00000130035	3742	KCNA6	potassium voltage-gated channel subfamily A member 6
ENSG00000130037	3741	KCNA5	potassium voltage-gated channel subfamily A member 5
ENSG00000130038	84766	CRACR2A	calcium release activated channel regulator 2A
ENSG00000130045	158046	NXNL2	nucleoredoxin-like 2
ENSG00000130052	9754	STARD8	StAR related lipid transfer domain containing 8
ENSG00000130054	27112	FAM155B	family with sequence similarity 155 member B
ENSG00000130055	54857	GDPD2	glycerophosphodiester phosphodiesterase domain containing 2
